Model,Dataset,Train_Accuracy,Val_Accuracy,Test_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Precision,Test_Recall,Test_F1,Pseudo_Labels,Delta_Val,Delta_Test
Logistic Regression,Raw,0.9533333333333334,0.3225,0.2875,0.3126890935861524,0.3225,0.305625548960843,0.2819819624819624,0.2875,0.274294036253452,,,
KNN,Raw,0.5358333333333334,0.2125,0.1625,0.2471915486474309,0.2125,0.188081033415217,0.2009508454508454,0.1625,0.153119623973526,,,
Logistic Regression,Normalized,0.9233333333333332,0.415,0.3275,0.4498471367813473,0.415,0.4046080973388147,0.3421482128982129,0.3275,0.3152365690575409,,,
KNN,Normalized,0.5933333333333334,0.26,0.225,0.2750837629896618,0.26,0.2349730143690855,0.2664135998101515,0.225,0.2037206356624178,,,
Logistic Regression,Selected,0.7816666666666666,0.3525,0.29,0.3618312798312799,0.3525,0.3413829621568214,0.2915976703035526,0.29,0.2740359735745925,,,
KNN,Selected,0.485,0.1925,0.165,0.1930922109291674,0.1925,0.1681129704703319,0.1926021571021571,0.165,0.15520505047965,,,
Naive Bayes,Raw,0.415,0.24,0.225,0.2852726978903449,0.24,0.2310124462684179,0.2491056305758822,0.225,0.2059800607371917,,,
CNN,Raw,0.9883333333333332,0.45,0.3725,0.435771277741866,0.45,0.4257233460232653,0.3711035010740893,0.3725,0.3509167130352484,,,
Naive Bayes,Normalized,0.4258333333333333,0.225,0.2175,0.2576095950712914,0.225,0.2116104591919725,0.2489631963376209,0.2175,0.2006031547222598,,,
CNN,Normalized,0.9966666666666668,0.4525,0.3825,0.4500466755466755,0.4525,0.429248214618722,0.3866964701964701,0.3825,0.3598698480965946,,,
Naive Bayes,Selected,0.3991666666666666,0.2025,0.2,0.2396562853704953,0.2025,0.2044696120825081,0.2266965208166446,0.2,0.1906751375215771,,,
CNN,Selected,0.8825,0.4,0.3475,0.4381776556776556,0.4,0.390381240694468,0.362801549899376,0.3475,0.3430787185671835,,,
SVM Linear,Raw,1.0,0.3675,0.28,0.3854623154623154,0.3675,0.3516852172595206,0.2738142739613327,0.28,0.2620534828970554,,,
SVM RBF,Raw,0.5525,0.305,0.2675,0.337674330485476,0.305,0.2859766775916016,0.2912583527583527,0.2675,0.2624493207171225,,,
MLP,Raw,0.9191666666666668,0.3325,0.2625,0.3698906124199905,0.3325,0.3212416786682142,0.2537562994542736,0.2625,0.2446591691943035,,,
SVM Linear,Normalized,0.9925,0.4025,0.3125,0.4156219613719614,0.4025,0.3886236289472929,0.307490231990232,0.3125,0.2964531083325672,,,
SVM RBF,Normalized,0.9225,0.395,0.3225,0.4360619658119657,0.395,0.387877499005982,0.3236117790255721,0.3225,0.3066039890714813,,,
MLP,Normalized,1.0,0.43,0.335,0.4400965496491812,0.43,0.4177727546504636,0.3367398989898989,0.335,0.3214746074359078,,,
SVM Linear,Selected,0.9758333333333332,0.3625,0.3175,0.3547049062049061,0.3625,0.3415685874153367,0.3175677231265467,0.3175,0.3036169257747532,,,
SVM RBF,Selected,0.4725,0.295,0.235,0.3517566001250211,0.295,0.2737903334442781,0.2570869963369963,0.235,0.2224523701646463,,,
MLP,Selected,0.7375,0.31,0.27,0.3411144263948611,0.31,0.2902550462490236,0.3120927436398024,0.27,0.2539192096338907,,,
Random Forest,Raw,1.0,0.545,0.4625,0.5381944656650538,0.545,0.5120005191616068,0.4843440579028815,0.4625,0.4451026724953902,,,
Gradient Boosting,Raw,1.0,0.3625,0.31,0.3830135420135421,0.3625,0.3526774788678813,0.3471516587987175,0.31,0.3101977286917925,,,
XGBoost,Raw,1.0,0.4575,0.445,0.4532463663787193,0.4575,0.4409978712034439,0.4615740925740926,0.445,0.4340971012132002,,,
Random Forest,Normalized,1.0,0.5375,0.4675,0.5323198190698191,0.5375,0.5050296292974312,0.4889133089133088,0.4675,0.448144839994214,,,
Gradient Boosting,Normalized,1.0,0.3875,0.33,0.4003642746142746,0.3875,0.3777702932714374,0.3779964626017257,0.33,0.3325830288848865,,,
XGBoost,Normalized,1.0,0.47,0.4425,0.4688177117000646,0.47,0.4562295022427207,0.4549474414474415,0.4425,0.4304026800363453,,,
Random Forest,Selected,1.0,0.4925,0.4275,0.4764778291883555,0.4925,0.4622630162770826,0.4489305074010956,0.4275,0.4093747333505847,,,
Gradient Boosting,Selected,1.0,0.365,0.2975,0.3662420912420912,0.365,0.3496995192480453,0.3115292338380573,0.2975,0.2887566315020885,,,
XGBoost,Selected,1.0,0.475,0.415,0.4707546620046619,0.475,0.451061639770618,0.4247372349872349,0.415,0.4019735364245392,,,
YAMNet + Random Forest,YAMNet Embeddings,1.0,0.84,0.834375,0.8493181818181817,0.84,0.8362501483724394,0.8518932178932178,0.8347619047619048,0.8295297937356763,,,
YAMNet + MLP,YAMNet Embeddings,0.8924999833106995,0.825,0.8125,0.8406112221112221,0.825,0.819561203330553,0.8246926406926406,0.8114285714285715,0.8054703792939086,,,
"YAMNet+RF (SSL, TH=0.90)",YAMNet Embeddings,1.0,0.8375,0.8375,0.8491305916305916,0.8375,0.832562649081225,0.8552142857142856,0.8366666666666667,0.8315036140330259,2.0,-0.0024999999999999,0.003125
"YAMNet+RF (SSL, TH=0.85)",YAMNet Embeddings,1.0,0.835,0.828125,0.843085137085137,0.835,0.8297365245693418,0.8448376623376623,0.8280952380952381,0.8224050296109118,6.0,-0.005,-0.0062499999999999
